movie_name,ranking,score,score_num
罗生门,190,8.8,171386
海街日记,191,8.7,206438
黑客帝国3：矩阵革命,192,8.6,218442
阿飞正传,193,8.5,288388
天书奇谭,194,9.1,85363
香水,195,8.5,355579
朗读者,196,8.5,329660
浪潮,197,8.7,170288
可可西里,198,8.7,167637
谍影重重2,199,8.6,213989
牯岭街少年杀人事件,200,8.8,145507
谍影重重,201,8.6,255035
战争之王,202,8.6,220740
地球上的星星,203,8.9,117161
疯狂的石头,204,8.4,439852
惊魂记,205,8.9,117097
青蛇,206,8.5,296768
初恋这件小事,207,8.3,617314
终结者2：审判日,208,8.6,193497
源代码,209,8.4,512488
步履不停,210,8.8,134346
小萝莉的猴神大叔,211,8.5,260630
新龙门客栈,212,8.5,251246
一次别离,213,8.7,165477
爱在午夜降临前,214,8.8,162349
追随,215,8.9,106116
再次出发之纽约遇见你,216,8.5,239013
功夫,217,8.4,443284
无耻混蛋,218,8.5,287223
撞车,219,8.6,215964
东京物语,220,9.2,71082
奇迹男孩,221,8.6,310401
梦之安魂曲,222,8.7,142365
城市之光,223,9.3,63018
彗星来的那一夜,224,8.5,267285
血钻,225,8.6,189942
绿里奇迹,226,8.7,141811
2001太空漫游,227,8.7,144313
头号玩家,228,8.7,792730
聚焦,229,8.8,168867
这个男人来自地球,230,8.5,240639
疯狂的麦克斯4：狂暴之路,231,8.6,286644
E.T. 外星人,232,8.5,206566
末路狂花,233,8.7,135177
发条橙,234,8.5,233731
黑鹰坠落,235,8.6,164733
变脸,236,8.4,267867
勇闯夺命岛,237,8.6,178688
釜山行,238,8.4,533093
黄金三镖客,239,9.1,69461
我爱你,240,9.0,82430
国王的演讲,241,8.4,428356
遗愿清单,242,8.6,184512
新世界,243,8.7,138807
非常嫌疑犯,244,8.6,159280
秒速5厘米,245,8.3,402441
千钧一发,246,8.7,127005
卡萨布兰卡,247,8.6,157485
驴得水,248,8.3,486621
四个春天,249,8.9,83261
美国丽人,250,8.5,234126
